Country (or dependency),Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area,Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,percentage_pop,TotalFert,Odds
China,1440297825,0.39%,5540090,153,9388211,-348399,1.7,38,61%,18.47%,0.184453756,0.313571386,0.127352241
India,1382345085,0.99%,13586631,464,2973190,-532687,2.2,28,35%,17.70%,0.177031958,0.389470307,0.158177431
United States,331341050,0.59%,1937734,36,9147420,954806,1.8,38,83%,4.25%,0.042433655,0.076380579,0.031020809
Indonesia,274021604,1.07%,2898047,151,1811570,-98955,2.3,30,56%,3.51%,0.03509296,0.080713808,0.032780684
Pakistan,221612785,2.00%,4327022,287,770880,-233379,3.6,23,35%,2.83%,0.028381151,0.102172145,0.04149566
Brazil,212821986,0.72%,1509890,25,8358140,21200,1.7,33,88%,2.73%,0.027255345,0.046334087,0.018817884
Nigeria,206984347,2.58%,5175990,226,910770,-60000,5.4,18,52%,2.64%,0.02650774,0.143141796,0.05813486
Bangladesh,164972348,1.01%,1643222,1265,130170,-369501,2.1,28,39%,2.11%,0.021127415,0.044367571,0.018019213
Russia,145945524,0.04%,62206,9,16376870,182456,1.8,40,74%,1.87%,0.018690718,0.033643292,0.01366371
Mexico,129166028,1.06%,1357224,66,1943950,-60000,2.1,29,84%,1.65%,0.016541828,0.034737839,0.014108244
Japan,126407422,-0.30%,-383840,347,364555,71560,1.4,48,92%,1.62%,0.016188543,0.022663961,0.009204622
Ethiopia,115434444,2.57%,2884858,115,1000000,30000,4.3,19,21%,1.47%,0.014783274,0.063568077,0.025817206
Philippines,109830324,1.35%,1464463,368,298170,-67152,2.6,26,47%,1.41%,0.014065574,0.036570493,0.014852548
Egypt,102659126,1.94%,1946331,103,995450,-38033,3.3,25,43%,1.31%,0.013147185,0.043385709,0.017620445
Vietnam,97490013,0.91%,876473,314,310070,-80000,2.1,32,38%,1.25%,0.012485195,0.026218909,0.010648411
DR Congo,90003954,3.19%,2770836,40,2267050,23861,6,17,46%,1.15%,0.011526482,0.069158894,0.028087831
Turkey,84495243,1.09%,909452,110,769630,283922,2.1,32,76%,1.08%,0.010821002,0.022724103,0.009229048
Iran,84176929,1.30%,1079043,52,1628550,-55000,2.2,32,76%,1.08%,0.010780236,0.02371652,0.009632103
Germany,83830972,0.32%,266897,240,348560,543822,1.6,46,76%,1.07%,0.010735931,0.017177489,0.006976376
Thailand,69830779,0.25%,174396,137,510890,19444,1.5,40,51%,0.90%,0.008942976,0.013414465,0.00544808
United Kingdom,67948282,0.53%,355839,281,241930,260650,1.8,40,83%,0.87%,0.008701892,0.015663405,0.006361453
